Original,Translated,Categories
"hruška","una pera","nature"
"lékárnička","botiquín","home"
"drogerie, lékárna","botica","places;travel"
"na míru","a medida","phrase"
"stejné","igual","grammar"
"šroub","un tornillo","stuff"
"soustruh","un torno","stuff"
"deštník","un paraguas","wears"
"bikiny","un bikini","wears"
"šroubovák","atornillador","stuff"
"nemám preference","no tengo preferencia","phrase"
"když jdu na schůzku","si voy a una reunión","phrase"
"odolný","resistente","property"
"klobouk","un sombrero","wears"
"lékárna","farmacia","places;shop;travel"
"malá cestovní lékárnička","botiquín de mano","travel"
"fena","una perra","nature"
"dřevo","una madera","nature"
"týden volna","una semana fuera","phrase"
"pes","un perro","nature"
"ale","pero","grammar"
"rukavice","unos guantes","wears"
"kšiltovka","una gorra de béisbol","wears"
"vzadu","al fondo","places"
"zkušební kabinky","unos probadores","shop"
"není to špatné","no está mal","property;shop"
"Ne, děkuji, jen se díváme.","No,  gracias, solo estamos mirando.","shop"
"Co si přejete?","¿Qué desea?","shop"
"vezmu si to","pues me llevo esta","shop"
"Kolik to stojí?","¿Cuánto cuesta esta?","phrase;shop"
"chtěl bych opalovací krém","quería una crema solar","phrase;shop"
"suvenýr","recuerdo","travel"
"nevzpomínám si","no me acuerdo","phrase"
"nevím","no sé","phrase"
"bezpečnostní pás","un cinturón de seguridad","stuff;travel"
"Irsko","Irlanda","places"
"kolo","uno redondo","stuff"
"klasické","clásico","property"
"oblek","un traje","wears"
"tento, tato, tito, tyto, toto","este, esta, estos, estas, esto","grammar;verb"
"tamten, tamta, tamti, tamty, tamto","ese, esa, esos, esas, eso","grammar"
"říkat +","decir - digo, dices,  dice, decimos, decís, dicen","verb"
"za prvé, jako první","primero","grammar"
"krabice","una casilla","home;stuff"
"libra","una libra","number"
"jíst +","comer - como, comes, come, comemos, coméis, comen","food;verb"
"stůl","una mesa","home;stuff"
"jít na výlet","ir de excursión","activity"
"růžové tričko","camiseta rosa","wears"
"malý, děti","pequeños","property"
"jeden měsíc","un mes","time"
"Měsíc","la luna","nature"
"deset miliard","diez mil millones","number"
"tuny","toneladas","property"
"skákat","saltar","verb"
"Velitel","el comandante","work"
"blesk","el relámpago","nature"
"vodopád","una cascada","nature"
"lanovka","uno teleférico","nature"
"zlato","dorado","color;nature"
"obchod","una tienda","places"
"oblečení","la ropa","wears"
"tašky,  kabelky","los bolsos","wears"
"řemesla, řemeslné výrobky","artesanía","work"
"trh","el mercado","places"
"košile","una camisa","wears"
"tričko","una camiseta","wears"
"sportovní tričko","camiseta de deporte","wears"
"pruhované tričko","camiseta de rayas","wears"
"tílko","camiseta de tirantes","wears"
"dámská košile","camisa de mujer","wears"
"košile s dlouhým rukávem","camisa de manga larga","wears"
"košile s krátkým rukávem","camisa de manga corta","wears"
"použité","de segundo mano","property;wears"
"značky adidas","de la marca Adidas","wears"
"koupit","comprar","verb;wears"
"s potiskem","estampada","wears"
"Je to velmi pohodlné","es muy cómoda","wears"
"velmi pěkná tkanina","tejido muy agradable","wears"
"sto procent bavlna","cien por ciento de algodón","wears"
"t-košile","camiseta de hombre","wears"
"je nový","esta nueva","property"
"poslouchat hudbu","escuchar música","activity;music"
"jít na koncert","ir a un concierto","activity"
"sledovat televizi","ver la televisión","activity;home"
"jít na výstavu","ir a una exposición","activity"
"noční život","salir de noche","activity"
"navštěvovat historická místa","visitar lugares históricos","activity;places"
"jít na film","ir al cine","activity"
"jít na večeři","salir a cenar","activity"
"vařit","cocinar","activity;home;verb"
"nakupování","ir de compras","activity;wears"
"jít na pláž","ir a la playa","activity;places"
"hrát videohry","jugar a videojuegos","activity;home"
"Naučte se hrát na kytaru","aprender a tocar la guitarra","activity;music"
"účastnit se divadelního kursu","hacer un curso de teatro","activity"
"podívejte se na sloveso","fíjate en el verbo","phrase"
"vesnice, lidé","los pueblos","places"
"lidé","las personas, la gente","nature"
"snadné nošení s džíny a sukněmi","fácil de llevar con vaqueros y faldas","wears"
"jednoduchý a velmi pohodlný","sencilla y muy cómoda","property;wears"
"velikost L","talla L","wears"
"nové stojí třicet eur","nueva cuesta treinta euros","wears"
"hygienické výrobky","productos de higiene","home"
"stříbro","la plata","color;nature"
"jedna","uno","number"
"dvě","dos","number"
"tři","tres","number"
"čtyři","cuatro","number"
"pět","cinco","number"
"šest","seis","number"
"sedm","siete","number"
"osm","ocho","number"
"devět","nueve","number"
"deset","diez","number"
"jedenáct","once","number"
"dvanáct","doce","number"
"třináct","trece","number"
"čtrnáct","catorce","number"
"patnáct","quince","number"
"šestnáct","dieciséis","number"
"sedmnáct","diecisiete","number"
"osmnáct","dieciocho","number"
"devatenáct","diecinueve","number"
"dvacet","veinte","number"
"třicet","treinta","number"
"čtyřicet","cuarenta","number"
"padesát","cincuenta","number"
"šedesát","sesenta","number"
"sedmdesát","setenta","number"
"osmdesát","ochenta","number"
"devadesát","noventa","number"
"sto","cien","number"
"pro mou práci","por mi trabajo","grammar;work"
"protože budu cestovat po Latinské Americe","para viajar por Latinoamérica","grammar"
"protože chci pracovat s Španěly","porque quiero trabajar con españoles","grammar"
"ruka","una mano","body"
"motocykl","una moto","stuff"
"motocykl","una motocicleta","stuff"
"fotografie","una foto, una fotografía","home;stuff"
"pohovka","el sofá","home"
"počasí,  klima","el clima","nature"
"systém","el sistema","stuff"
"kurz","el curso","activity;edu"
"kurzy","los cursos","activity;edu"
"zpráva","el mensaje","stuff"
"seriál","la serie","activity;home"
"dělat +","hacer - hago, haces, hace, hacemos, hacéis, hacen","grammar;verb"
"jít do divadla","ir al teatro","activity"
"jít tancovat","salir a bailar","activity"
"jít ven s přáteli","salir con amigos","activity"
"jít s mými kolegy","salir con mis compañeros","activity;work"
"vážení","querido, querida","property"
"mí drazí přátelé","mis queridos amigos","phrase"
"malebná","pintoresca","property"
"malebná vesnice","un pueblito pintoresco","places"
